nama_tempat,lat,lon,kategori,wilayah
Tanpa Nama,-7.7792588,110.4227715,restaurant,sleman
Tanpa Nama,-7.6942843,110.4188945,restaurant,sleman
Tanpa Nama,-7.697716,110.4170223,restaurant,sleman
Tanpa Nama,-7.69522,110.4179371,restaurant,sleman
Tanpa Nama,-7.6935846,110.4183509,restaurant,sleman
Tanpa Nama,-7.6939271,110.4184544,restaurant,sleman
Tanpa Nama,-7.7281897,110.3640208,restaurant,sleman
Tanpa Nama,-7.7280214,110.3639388,restaurant,sleman
Tanpa Nama,-7.7281514,110.3638483,restaurant,sleman
Tanpa Nama,-7.728192,110.363614,restaurant,sleman
Tanpa Nama,-7.7283007,110.3638857,restaurant,sleman
Tanpa Nama,-7.7282577,110.3637983,restaurant,sleman
Tanpa Nama,-7.7491518,110.3531098,restaurant,sleman
Tanpa Nama,-7.7508485,110.3555936,restaurant,sleman
Tanpa Nama,-7.6459272,110.3242851,restaurant,sleman
Tanpa Nama,-7.7202831,110.3635139,restaurant,sleman
Tanpa Nama,-7.630564,110.3406733,restaurant,sleman
Tanpa Nama,-7.6305099,110.3407247,restaurant,sleman
Tanpa Nama,-7.5773009,110.454916,restaurant,sleman
Tanpa Nama,-7.577588,110.4548829,restaurant,sleman
Tanpa Nama,-7.7717152,110.4091927,restaurant,sleman
Tanpa Nama,-7.776502,110.4837654,restaurant,sleman
Tanpa Nama,-7.7583542,110.3985771,restaurant,sleman
Tanpa Nama,-7.7555488,110.4336795,restaurant,sleman
