Kabupaten/Kota,,
,PDRB Perkapita Menurut Kabupaten/Kota (Ribu Rupiah),
,Harga Berlaku,Harga Konstan 2010
,2024,2024
D.I. Yogyakarta,51473.44,33140.14
Kulonprogo,37976.68,23413.16
Bantul,35842.51,22564.14
Gunungkidul,35503.53,21944.54
Sleman,54501.31,35567.45
Kota Yogyakarta,131433.33,87722.69
